Flow2;att48;158.906;1;2010
Flow2;att48;252.922;1;58
Flow2;att48;2807.25;1;23
Flow2;att48;368.156;1;19931993
Flow2;att48;605;1;1992
Flow2;berlin52;15.859;1;2010
Flow2;berlin52;16.61;1;23
Flow2;berlin52;17.953;1;19931993
Flow2;berlin52;22.36;1;1992
Flow2;berlin52;28.797;1;58
Flow2;burma14;0.109;1;19931993
Flow2;burma14;0.125;1;1992
Flow2;burma14;0.156;1;58
Flow2;burma14;0.172;1;23
Flow2;burma14;0.282;1;2010
Flow2;eil101;3600.5;0;2010
Flow2;eil101;3601.75;0;58
Flow2;eil101;3602;0;1992
Flow2;eil101;3602.125;0;23
Flow2;eil101;999.515;1;19931993
Flow2;eil51;104.485;1;2010
Flow2;eil51;18.469;1;23
Flow2;eil51;20.968;1;19931993
Flow2;eil51;29.89;1;1992
Flow2;eil51;34.454;1;58
Flow2;eil76;118.718;1;1992
Flow2;eil76;313.625;1;19931993
Flow2;eil76;350.485;1;2010
Flow2;eil76;361.875;1;58
Flow2;eil76;605.406;1;23
Flow2;kroE100;3601.891;0;2010
Flow2;kroE100;3601.954;0;1992
Flow2;kroE100;3602.016;0;58
Flow2;kroE100;3602.094;0;23
Flow2;kroE100;3602.625;0;19931993
Flow2;pr76;3601.157;0;1992
Flow2;pr76;3601.266;0;2010
Flow2;pr76;3602.265;0;58
Flow2;pr76;3602.609;0;23
Flow2;pr76;3602.813;0;19931993
Flow2;rat99;1010.375;1;19931993
Flow2;rat99;1412.469;1;1992
Flow2;rat99;1516.594;1;23
Flow2;rat99;3603;0;58
Flow2;rat99;879.203;1;2010
Flow2;st70;3601.969;0;58
Flow2;st70;3602.25;0;19931993
Flow2;st70;3602.344;0;23
Flow2;st70;3604.484;0;2010
Flow2;st70;3618.531;0;1992
Flow2;ulysses16.tsp;0.328;1;1992
Flow2;ulysses16.tsp;0.328;1;58
Flow2;ulysses16.tsp;0.375;1;19931993
Flow2;ulysses16.tsp;0.531;1;2010
Flow2;ulysses16.tsp;0.656;1;23
Flow2;ulysses22.tsp;1.797;1;58
Flow2;ulysses22.tsp;2.265;1;1992
Flow2;ulysses22.tsp;2.297;1;2010
Flow2;ulysses22.tsp;2.656;1;19931993
Flow2;ulysses22.tsp;2.719;1;23
